Data,Godzina,Rok,Miesiac,Sezon,temperature_2m,dewpoint_temperature_2m,wilgotnosc_wzgledna,u_component_of_wind_10m,v_component_of_wind_10m,predkosc_wiatru,kierunek_wiatru,surface_pressure,total_precipitation_hourly
2022-03-15,19:00,2022,3,ZIMA,280.82814025878906,278.6897888183594,86.3318211580709,-2.18841552734375,-0.46490478515625,2.2372525515865216,11.993554700633808,101792.3046875,0.0
2022-03-15,20:00,2022,3,ZIMA,280.411376953125,278.6629333496094,88.65780545471628,-2.1587371826171875,-0.371673583984375,2.190499366958544,9.768939442124406,101766.0625,0.0
2022-03-15,21:00,2022,3,ZIMA,280.03759765625,278.5910339355469,90.5037857531101,-1.94451904296875,-0.5309600830078125,2.01570655558188,15.272579192347905,101786.2421875,4.470348358154297E-7
2022-03-15,22:00,2022,3,ZIMA,279.7703399658203,278.5320739746094,91.80323607330791,-1.8696136474609375,-0.88262939453125,2.0674839392031057,25.27161487204927,101807.1953125,1.1354684829711914E-5
2022-03-15,23:00,2022,3,ZIMA,279.57957458496094,278.47325134277344,92.63655494633561,-1.8714752197265625,-1.324422836303711,2.2927091720000927,35.286631054075315,101774.1640625,1.9878149032592773E-5
2022-03-16,00:00,2022,3,ZIMA,279.38104248046875,278.36114501953125,93.18352177022399,-1.837615966796875,-1.5503711700439453,2.4042635476025183,40.15386311566141,101745.57421875,1.0460615158081055E-5
2022-03-16,01:00,2022,3,ZIMA,279.12506103515625,278.1886291503906,93.71298793784042,-1.76177978515625,-1.5958080291748047,2.3770719966723717,42.1700674703531,101748.1328125,1.2777745723724365E-6
2022-03-16,02:00,2022,3,ZIMA,278.8836364746094,277.98779296875,93.96671080851196,-1.4971466064453125,-1.7678985595703125,2.3166599401123813,49.7403730654878,101775.22265625,0.0
2022-03-16,03:00,2022,3,ZIMA,278.74501037597656,277.88746643066406,94.21163664539766,-1.0570526123046875,-2.098072052001953,2.3493119334332446,63.26007810708518,101830.27734375,3.3192336559295654E-6
2022-03-16,04:00,2022,3,ZIMA,278.77288818359375,277.81968688964844,93.58609223873937,-0.8318328857421875,-2.283102035522461,2.4299178698896347,69.98112855964803,101887.328125,1.296401023864746E-6
2022-03-16,05:00,2022,3,ZIMA,278.67840576171875,277.6324768066406,92.9768512377867,-0.8444671630859375,-2.290576934814453,2.4412839826276636,69.76257900476799,101912.91796875,2.1383166313171387E-6
2022-03-16,06:00,2022,3,ZIMA,278.8261260986328,277.5400390625,91.43698266099125,-0.8407440185546875,-2.167332649230957,2.324689509839532,68.7979069650305,101977.515625,2.086162567138672E-7
2022-03-16,07:00,2022,3,ZIMA,279.35609436035156,277.8355407714844,89.98838708543182,-0.6540069580078125,-2.1256189346313477,2.22395614983433,72.89800081101987,102093.11328125,6.437300612560648E-7
2022-03-16,08:00,2022,3,ZIMA,280.48289489746094,278.013916015625,84.33327225369274,-0.6679840087890625,-2.2558279037475586,2.352650030778911,73.50519926278378,102124.5234375,6.407499313354492E-7
2022-03-16,09:00,2022,3,ZIMA,281.3212890625,278.0206298828125,79.69010348393476,-0.6009674072265625,-2.2068395614624023,2.2872041173852815,74.76658231485533,102193.859375,0.0
2022-03-16,10:00,2022,3,ZIMA,282.53955078125,277.4702453613281,70.62651845744354,-1.17694091796875,-2.201226234436035,2.4961143522600424,61.867692402496345,102190.59375,0.0
2022-03-16,11:00,2022,3,ZIMA,283.6997528076172,275.88568115234375,58.447066263947065,-2.5914459228515625,-1.9521942138671875,3.2444805777998598,36.9915328823825,102197.1640625,0.0
2022-03-16,12:00,2022,3,ZIMA,284.1483917236328,275.1564636230469,53.86198195260277,-2.11016845703125,-1.5686311721801758,2.6293373065061467,36.62592236589256,102203.76171875,0.0
2022-03-16,13:00,2022,3,ZIMA,284.5376434326172,274.90928649902344,51.57190937364704,-1.6813812255859375,-1.353189468383789,2.158278147759846,38.82739760937778,102211.12890625,0.0
2022-03-16,14:00,2022,3,ZIMA,284.50689697265625,274.7801208496094,51.20177879771223,-1.5181884765625,-1.4008245468139648,2.0657215836902405,42.69756497935339,102227.60546875,5.364418029785156E-7
2022-03-16,15:00,2022,3,ZIMA,284.1515655517578,275.4591064453125,55.02441426845886,-1.29498291015625,-1.2890777587890625,1.8272115930568584,44.869066672532426,102249.46875,0.0
2022-03-16,16:00,2022,3,ZIMA,283.5862274169922,276.1651306152344,60.06823210348249,-1.1154632568359375,-1.295125961303711,1.7092716381528998,49.26240922431879,102259.7421875,0.0
2022-03-16,17:00,2022,3,ZIMA,282.44898986816406,276.32579040527344,65.56240664000404,-1.1643829345703125,-1.450007438659668,1.8596529758228935,51.23488796442933,102297.77734375,0.0
2022-03-16,18:00,2022,3,ZIMA,281.3936767578125,276.3022918701172,70.2902917078745,-1.4393463134765625,-1.4188213348388672,2.021081836619318,44.5885565226248,102353.50390625,0.0
2022-03-16,19:00,2022,3,ZIMA,280.26234436035156,275.8346862792969,73.45101608325967,-2.083465576171875,-0.9380159378051758,2.2848857097609336,24.238182623366185,102369.6640625,0.0
2022-03-16,20:00,2022,3,ZIMA,279.32066345214844,275.6906433105469,77.5636699948932,-2.4964599609375,-0.6252431869506836,2.5735658879057888,14.060610785087533,102385.23046875,0.0
2022-03-16,21:00,2022,3,ZIMA,278.6645812988281,275.68328857421875,81.12146355527689,-2.549957275390625,-0.37894248962402344,2.5779603404164373,8.452714697430508,102400.1171875,0.0
2022-03-16,22:00,2022,3,ZIMA,277.73731994628906,275.6024932861328,86.03384669995026,-2.35382080078125,-0.29725074768066406,2.372515620430601,7.197461000019871,102439.48828125,0.0
2022-03-16,23:00,2022,3,ZIMA,276.99278259277344,275.4261016845703,89.51107172975632,-2.43109130859375,-0.36872100830078125,2.4588940873251164,8.624260903789093,102462.51171875,0.0
2022-03-17,00:00,2022,3,ZIMA,276.4749450683594,275.18336486816406,91.24396976782812,-2.4835205078125,-0.20864582061767578,2.492269486068166,4.802262855640436,102423.87890625,0.0
2022-03-17,01:00,2022,3,ZIMA,276.1113586425781,274.92872619628906,91.93253346965005,-2.3725738525390625,0.13706398010253906,2.37652965906037,356.6936883169373,102408.578125,0.0
2022-03-17,02:00,2022,3,ZIMA,275.77777099609375,274.6831512451172,92.49281040075249,-2.10107421875,0.273529052734375,2.118804147481708,352.58264563714164,102401.03125,0.0
2022-03-17,03:00,2022,3,ZIMA,275.43882751464844,274.4255676269531,93.01448872626955,-2.0586090087890625,0.055846214294433594,2.0593663711730623,358.4460537302059,102440.5390625,0.0
2022-03-17,04:00,2022,3,ZIMA,275.0210266113281,274.13018798828125,93.81442043282404,-2.3323822021484375,0.06215190887451172,2.3332101484168843,358.4735779823724,102437.46484375,0.0
2022-03-17,05:00,2022,3,ZIMA,274.86256408691406,273.9978485107422,93.98330785135813,-2.5338897705078125,0.41384029388427734,2.567462007104752,350.7242265873806,102420.51953125,0.0
2022-03-17,06:00,2022,3,ZIMA,275.26800537109375,274.25596618652344,93.01323904019567,-2.5185546875,0.8149728775024414,2.6471302395221947,342.0690661492411,102474.61328125,0.0
2022-03-17,07:00,2022,3,ZIMA,277.342041015625,275.6820983886719,88.94820184389111,-2.2987518310546875,1.1246719360351562,2.5591301148011887,333.9296552729144,102458.76953125,4.276632239452738E-7
