Data,Godzina,Rok,Miesiac,Sezon,temperature_2m,dewpoint_temperature_2m,wilgotnosc_wzgledna,u_component_of_wind_10m,v_component_of_wind_10m,predkosc_wiatru,kierunek_wiatru,surface_pressure,total_precipitation_hourly
2017-07-11,12:00,2017,7,LATO,292.85546875,288.05247497558594,73.81772047362735,3.707611083984375,-1.049485206604004,3.8532842029837924,164.19517805468217,99961.8046875,4.1425228118896484E-5
2017-07-11,13:00,2017,7,LATO,293.74647521972656,287.50323486328125,67.42818039458368,3.8190460205078125,-0.9029006958007812,3.924326970734484,166.69834510109138,99965.8203125,1.3425946235656738E-5
2017-07-11,14:00,2017,7,LATO,294.2576141357422,287.2387237548828,64.23204699043093,3.164703369140625,-0.8763217926025391,3.2837916040516566,164.52233042341504,99954.0546875,3.069639205932617E-6
2017-07-11,15:00,2017,7,LATO,294.78094482421875,286.9267578125,60.95894614234943,2.9636077880859375,-0.5891942977905273,3.021609015434078,168.75565263458452,99947.9609375,0.0
2017-07-11,16:00,2017,7,LATO,295.00038146972656,286.4960174560547,58.48503392954586,2.8743133544921875,-0.22672271728515625,2.8832413097667176,175.48990939075145,99967.41015625,0.0
2017-07-11,17:00,2017,7,LATO,294.7903594970703,286.8052673339844,60.4448115892978,1.9460906982421875,0.0203857421875,1.9461974679536762,180.60016435571848,99970.65625,0.0
2017-07-11,18:00,2017,7,LATO,294.2240753173828,288.3280487060547,69.05068494989776,0.9244842529296875,0.5544891357421875,1.0780210274252913,210.9545770125773,99971.65625,0.0
2017-07-11,19:00,2017,7,LATO,293.1107177734375,287.5634460449219,70.40272415477456,1.29022216796875,1.0546417236328125,1.6664160368722964,219.26293998229025,100022.109375,0.0
2017-07-11,20:00,2017,7,LATO,291.9837646484375,287.5426025390625,75.41272747327504,1.50201416015625,1.64019775390625,2.224026800474534,227.51804747008845,100066.78515625,1.2367963790893555E-6
2017-07-11,21:00,2017,7,LATO,291.47154235839844,287.9465637207031,79.92618776386678,1.830352783203125,1.5285186767578125,2.3846510554328235,219.8650923744394,100075.9609375,1.189112577293372E-6
2017-07-11,22:00,2017,7,LATO,291.29893493652344,288.45594787597656,83.48706774330445,2.1070556640625,1.1556396484375,2.403161785751973,208.74308801064845,100100.765625,-5.960487214906607E-9
2017-07-11,23:00,2017,7,LATO,291.02906799316406,288.8031768798828,86.82633070206843,2.3558197021484375,0.7891387939453125,2.4844771089990374,198.5195198202345,100087.5703125,-5.960373528068885E-9
2017-07-12,00:00,2017,7,LATO,290.78155517578125,288.97889709472656,89.18727629622492,2.2799224853515625,0.6158447265625,2.361633177791692,195.11579740032582,100101.828125,8.940617135522189E-9
2017-07-12,01:00,2017,7,LATO,290.31822204589844,288.99839782714844,91.95005673878977,2.0494232177734375,0.777008056640625,2.1917748619858908,200.76347093279392,100101.3515625,0.0
2017-07-12,02:00,2017,7,LATO,289.8302764892578,288.8803405761719,94.12510769386046,1.77001953125,1.0190277099609375,2.0423972715107857,209.92970198311892,100074.546875,0.0
2017-07-12,03:00,2017,7,LATO,289.36065673828125,288.6187286376953,95.36855075252095,1.657073974609375,1.141021728515625,2.011920660034211,214.55037369682674,100058.83984375,0.0
2017-07-12,04:00,2017,7,LATO,289.32896423339844,288.625732421875,95.6043111301772,1.342681884765625,1.129638671875,1.7546732381481416,220.07491140521452,100067.75,0.0
2017-07-12,05:00,2017,7,LATO,290.5255889892578,289.0737762451172,91.19071475589163,1.2168426513671875,1.1757965087890625,1.6921003127081073,224.0171773052174,100089.7578125,0.0
2017-07-12,06:00,2017,7,LATO,292.15509033203125,289.2863006591797,83.44855336949041,1.2552947998046875,1.429107666015625,1.902134000400949,228.70468344034413,100084.48046875,0.0
2017-07-12,07:00,2017,7,LATO,293.3174285888672,289.78172302246094,80.12397126325472,1.8460845947265625,1.6461334228515625,2.4734153667986574,221.7230385558741,100055.25,2.175569534301758E-6
2017-07-12,08:00,2017,7,LATO,294.6850128173828,289.2943878173828,71.40980062262665,1.610687255859375,2.125762939453125,2.6670548383826294,232.84884765434168,100000.375,1.3902783393859863E-5
2017-07-12,09:00,2017,7,LATO,295.86376953125,288.49827575683594,63.16187480297334,1.3778228759765625,2.7874603271484375,3.1093939848450853,243.69712276268632,99929.05859375,2.656877040863037E-5
2017-07-12,10:00,2017,7,LATO,296.9029998779297,287.5357971191406,55.753015906582945,1.7983551025390625,3.3106536865234375,3.767560073432076,241.48908348337693,99887.51171875,2.5957822799682617E-5
2017-07-12,11:00,2017,7,LATO,297.5211486816406,286.43731689453125,50.024181567256285,2.421661376953125,3.4496002197265625,4.214758059552654,234.93067739988538,99838.046875,1.519918441772461E-6
2017-07-12,12:00,2017,7,LATO,297.0108947753906,285.5937957763672,48.81098346886947,2.58416748046875,3.471893310546875,4.328043983941516,233.33929385836967,99778.31640625,2.0757317543029785E-5
2017-07-12,13:00,2017,7,LATO,296.2878112792969,285.89613342285156,52.00667110973038,2.4561614990234375,3.3012847900390625,4.114755226526642,233.35068980080513,99752.2265625,1.2516975402832031E-6
2017-07-12,14:00,2017,7,LATO,295.47430419921875,286.4371795654297,56.60261799460432,3.0224151611328125,3.31011962890625,4.482397278679784,227.6013159685867,99719.8359375,4.677474498748779E-5
2017-07-12,15:00,2017,7,LATO,293.0331573486328,288.51495361328125,75.21138463194153,2.2203369140625,2.522216796875,3.360278795336329,228.6421600117838,99706.94140625,7.194429636001587E-4
2017-07-12,16:00,2017,7,LATO,292.08631896972656,289.2972412109375,83.8659039067405,1.266387939453125,2.4543914794921875,2.7618428535664696,242.7077051312202,99649.0,5.995780229568481E-4
2017-07-12,17:00,2017,7,LATO,292.21710205078125,289.5828399658203,84.71151559002958,0.795501708984375,2.785675048828125,2.897034422760737,254.0623142709081,99574.71875,1.0560452938079834E-4
2017-07-12,18:00,2017,7,LATO,291.9705352783203,289.3581237792969,84.80293168614065,0.5557098388671875,2.9752655029296875,3.026717403051901,259.42039259964406,99511.52734375,1.0110437870025635E-4
2017-07-12,19:00,2017,7,LATO,290.0202178955078,288.7272033691406,92.09031199678392,-0.4527740478515625,1.5368194580078125,1.6021293283999627,286.41590086095454,99525.59765625,0.0011011362075805664
2017-07-12,20:00,2017,7,LATO,289.6764373779297,288.62828063964844,93.5279043039884,-0.8739776611328125,1.4600372314453125,1.701630297498747,300.90472107728516,99505.7265625,0.0011007040739059448
2017-07-12,21:00,2017,7,LATO,289.4249725341797,288.5867156982422,94.7838032607768,-0.8609466552734375,1.7431488037109375,1.9441699758779816,296.28491040938434,99460.6484375,0.0015659570693919989
2017-07-12,22:00,2017,7,LATO,289.3307800292969,288.576904296875,95.29447813333209,0.2849884033203125,1.5244903564453125,1.550899492849816,259.4113374063541,99439.8828125,0.0024615824222564697
2017-07-12,23:00,2017,7,LATO,289.35118103027344,288.6204376220703,95.43661916125849,2.4922637939453125,-0.4774322509765625,2.5375815992561166,169.15547561332926,99441.734375,0.0024856925010681152
2017-07-13,00:00,2017,7,LATO,288.6727752685547,288.110107421875,96.45144866327334,4.40960693359375,-4.34832763671875,6.192946515597414,135.4008922147092,99582.59375,0.0024467557668685913
