Data,Rok,Miesiac,Sezon,lon_pomiaru,lat_pomiaru,odleglosc_m,CH4_column_volume_mixing_ratio_dry_air,CO_column_number_density,tropospheric_HCHO_column_number_density,NO2_column_number_density,O3_column_number_density,SO2_column_number_density,folder
2025-03-05,2025,3,ZIMA,16.695189555361306,51.39033414399208,22774.361202252046,1871.580465210215,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.695189555361306,51.45321621388044,15984.460380881492,1881.0647395312133,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.695189555361306,51.51609828376883,9498.617637244895,1881.3266921901595,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.695189555361306,51.57898035365719,4778.811626111381,1882.614844936565,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.695189555361306,51.64186242354555,7303.820656026393,1886.1767755551905,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.695189555361306,51.70474449343391,13481.59372237837,1891.1302283223315,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.695189555361306,51.767626563322295,20200.56706752922,1890.5830185739928,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.758071625249674,51.39033414399208,22305.47501033657,1879.0344760660685,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.758071625249674,51.45321621388044,15309.953112466404,1882.7223340365028,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.758071625249674,51.51609828376883,8315.313151789731,1881.452880859334,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.758071625249674,51.57898035365719,1336.6685605293208,1875.7427130138765,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.758071625249674,51.64186242354555,5685.470440609392,1882.7287597655595,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.758071625249674,51.70474449343391,12679.166548422323,1890.029995912719,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.758071625249674,51.767626563322295,19674.85473951676,1891.7668167131096,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.82095369513804,51.39033414399208,22683.59985181661,1873.8892460475176,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.82095369513804,51.45321621388044,15855.056231952787,1886.0727091603364,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.82095369513804,51.51609828376883,9279.50594577174,1879.4534299858271,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.82095369513804,51.57898035365719,4327.607486410343,1873.9885990896023,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.82095369513804,51.64186242354555,7017.308984436831,1888.8468034082944,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.82095369513804,51.70474449343391,13328.76158161471,1894.32762661416,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.82095369513804,51.767626563322295,20099.032512508216,1896.5167236327832,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.883835765026408,51.39033414399208,23868.515249312062,1885.468983265995,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.883835765026408,51.45321621388044,17506.212359873636,1885.864670232478,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.883835765026408,51.51609828376883,11879.320814836998,1883.928079398059,,,,,,zalecze
2025-03-05,2025,3,ZIMA,16.883835765026408,51.57898035365719,8582.63182821231,1883.081179578596,,,,,,zalecze
